Modelo,Consulta,No. Resultado más parecido,Campo,Texto,Similitud,Justificación
sentence_similarity,Algoritmos predictivos,1,Titulo,Generación de aleatoriedad para aplicaciones criptográficas,0.4047959148883819,
sentence_similarity,,1,resumen,"La generación de números aleatorios para aplicaciones criptográficas, requiere de la búsqueda de mecanismos eficaces tanto en hardware como en software, pues los ya existentes emplean demasiados recursos y tiempo de tal forma que no son capaces de satisfacer la demanda de estos valores por las aplicaciones criptográficas modernas Por ello, es de suma importancia buscar optimizaciones de los algoritmos diseñados para tal propósito en cuanto a calidad y eficiencia Así, el objetivo del presente trabajo es analizar, implementar y comparar aquellos cuya salida sean las sucesiones de números aleatorios que satisfagan los estándares definidos por el NIST",0.374712735414505,
sentence_similarity,,1,objetivos,"Analizar e implementar mecanismos que permitan la generación de bits pseudoaleatorios para aplicaciones criptográficas, que satisfagan los requerimientos especificados por los estándares, mediante la combinación de algoritmos de software y hardware. Objetivos específicos Analizar los algoritmos generadores de aleatoriedad en hardware que satisfacen las pruebas de aleatoriedad establecidas por el NIST. Analizar los algoritmos generadores de aleatoriedad en software que satisfacen las pruebas de aleatoriedad establecidas por el NIST. Implementar algoritmos generadores de aleatoriedad para software y hardware. Verificar la eficiencia de los generadores de aleatoriedad de software y hardware tanto en tiempo como en calidad de los valores obtenidos. Comparar los resultados obtenidos en cuanto a calidad de los números aleatorios de salida, así como de la eficiencia de cada uno de los generadores.",0.4697028398513794,
sentence_similarity,,1,claves,"Criptografía, pseudoaleatoriedad, entropía, hardware reconfigurable.",0.2111972421407699,
sentence_similarity,,1,TOTAL,,1.4604088068008425,
sentence_similarity,,2,Titulo,"Prototipo de aplicación móvil, que implementa realidad aumentada como una herramienta auxiliar en el aprendizaje de las matemáticas, usando el aprendizaje basado en problemas como técnica didáctica",0.3392165899276733,
sentence_similarity,,2,resumen,"El presente documento contiene como propuesta de desarrollo una aplicación móvil (app) utilizando realidad aumentada (RA) como una herramienta de apoyo en la enseñanza, considerando algunos temas de matemáticas que presentan un índice de reprobación alto para los jóvenes de entre 13 a 16 años situados en el nivel básico superior (secundaria) según la prueba PLANEA [1] usando como metodología el aprendizaje basado en problemas (ABP)",0.2468438148498535,
sentence_similarity,,2,objetivos,"Realizar una aplicación móvil que por medio de la realidad aumentada pueda ser utilizada para el apoyo en la práctica de algunos temas de matemáticas de acuerdo a los planes de estudio avalados por la SEP descritos en la tabla  Se propone utilizar un modelo predictivo para analizar los resultados obtenidos de cada usuario, midiendo la mejora de los usuarios de la aplicación mediante la comparación de las calificaciones antes del uso de esta y posterior a ella.  Desarrollar los ejercicios para la aplicación. Módulo de login. Módulo de registro. Módulo de ejercicios. Módulo de consulta de progreso y resultados. Aplicar la técnica pre-test y post-test para generar el banco de datos a analizar.  Usar el modelo de regresión lineal para realizar una predicción de las mejoras en las calificaciones que pueden tener los usuarios de la herramienta (app).",0.337697833776474,
sentence_similarity,,2,claves,"Aplicaciones móviles, realidad aumentada, figuras geométricas, teorema de pitágoras, operaciones con fracciones, modelo predictivo.",0.5257536172866821,
sentence_similarity,,2,TOTAL,,1.4495118856430054,
sentence_similarity,,3,Titulo,Programa solucionador de ecuaciones diferenciales de segundo orden de coeficientes variables con restricciones a través de la Ecuación de Riccati,0.3112548589706421,
sentence_similarity,,3,resumen,"El  sistema  desarrollado  para  este  trabajo terminal tiene la finalidad de resolver  ecuaciones  diferenciales  de  segundo  orden  valiéndose  de  un  método  matemático  alternativo el cual fue implementado y puesto  a  prueba,  siendo  comparado  en  rendimiento  con otros sistemas de resolución de ecuaciones  son  Wolfram  diferenciales,  Mathematica  y  Matlab,  permitiendo  así  observar  su  eficacia  así  como  algunos  casos  particulares  donde  nuestro  programa  arrojó  resultados donde los otros no    como   lo",0.4108620285987854,
sentence_similarity,,3,objetivos,"Desarrollar un método analítico alternativo al tradicional para resolver cierto tipo de Ecuaciones Diferenciales de Segundo Orden con Restricciones  Aplicación del método con ejemplos ilustrativos (Ecuación con Coeficientes Constantes y Cauchy-Euler).  Buscar alguna aplicación a algún fenómeno conocido como ejemplo ilustrativo Generar una familia de Ecuaciones Diferenciales con sus soluciones Crear un ambiente interactivo para el usuario Analizar el método desde el punto de vista computacional y matemático, para su posible extensión",0.3219419121742248,
sentence_similarity,,3,claves,"Ecuación de Riccati, ecuaciones diferenciales de segundo orden, solución alternativa.",0.2323933243751526,
sentence_similarity,,3,TOTAL,,1.2764520645141602,
sentence_similarity,,4,Titulo,Sistema para modelados eniad-relación para fuentes de datos (DEER Tool),0.4048344492912292,
sentence_similarity,,4,resumen,"La fase inicial del desarrollo de un sistema de software es el análisis de las especificaciones del usuario En esta fase, es importante comprender los requerimientos que desea el usuario, para poder traducirlos en una implementación de software adecuada Un modelo muy popular empleado en la enseñanza del diseño de bases de datos es el Entidad-Relación (ER), en el cual se diagraman los conceptos mediante notaciones basadas en figuras geométricas y anotaciones, lo que facilita la comprensión del modelo En este trabajo, se pretende crear un software que permita la creación y edición de modelos ER, siguiendo la notación original de Peter P Chen[1], y agregando capacidades complementarias como las encontradas en otros modelos de datos populares",0.2912150025367737,
sentence_similarity,,4,objetivos,"Desarrollar un sistema de software para la creación y edición de diagramas basados en el modelo ER y EER del  Peter P. Chen, que cumplan correctamente su especificación, y realizando la validación para ayudar al usuario a minimizar errores y permitir usarlo en el desarrollo de sistemas de bases de datos completos.  Los objetivos específicos considerados son: Hacer un análisis de la especificación completa del modelo ER y EER, así como una comparativa con otros modelos en sus capacidades y complementos. Diseñar e implementar el módulo de validación del modelo de acuerdo a las especificaciones del usuario. Diseñar e implementar el módulo de graficación de las especificaciones del usuario mediante una interfaz gráfica. Diseñar e implementar el módulo de exportación del modelo generado. Integración del sistema completo y verificación de su funcionalidad basada en casos de usuario.",0.2690526247024536,
sentence_similarity,,4,claves,"Modelo ER, Bases de Datos, Sistema Editor de modelos. Reglas del Negocio.",0.303332507610321,
sentence_similarity,,4,TOTAL,,1.2684345245361328,
sentence_similarity,,5,Titulo,Prototipo de Sistema Analizador de Variables Climáticas Mediante el Uso de Series de Tiempo,0.410921573638916,
sentence_similarity,,5,resumen,"En el desarrollo del trabajo terminal se desarrollará un prototipo sistema que analice una base de datos de cambio de clima, temperatura y concentración de CO2, con series de tiempo, llamado «<Prototipo de sistema analizador de variables climáticas mediante el uso de series de tiempo» Con este prototipo de sistema se pretenden interpretar distintos datos de temperatura y concentración de CO₂ usando series de tiempo para describir diferentes comportamientos usando correlaciones mediante el análisis de fluctuaciones sin tendencias DFA",0.3007677793502807,
sentence_similarity,,5,objetivos,Objetivo General El objetivo del proyecto es desarrollar un prototipo de sistema que permita analizar datos específicos sobre el cambio climático recogidos a lo largo de un intervalo de tiempo con series de tiempo para describir su comportamiento. Objetivos Particulares Anali datos temperatura y concentraciones de CO₂ con series de tiempo. Utilizar la base de datos del sistema meteorológico nacional para realizar el análisis. Desarrollar una aplicación web que presente patrones de comportamiento fundamentados en la aplicación de series de tiempo.,0.2871600985527038,
sentence_similarity,,5,claves,"Series de tiempo, Cambio climático, Bases de Datos, Estadística, Ingeniería de Software.",0.2289992570877075,
sentence_similarity,,5,TOTAL,,1.227848768234253,
sentence-transformers 1,Algoritmos predictivos,1,Titulo,Generación de aleatoriedad para aplicaciones criptográficas,0.4646376967430115,
sentence-transformers 1,,1,resumen,"La generación de números aleatorios para aplicaciones criptográficas, requiere de la búsqueda de mecanismos eficaces tanto en hardware como en software, pues los ya existentes emplean demasiados recursos y tiempo de tal forma que no son capaces de satisfacer la demanda de estos valores por las aplicaciones criptográficas modernas Por ello, es de suma importancia buscar optimizaciones de los algoritmos diseñados para tal propósito en cuanto a calidad y eficiencia Así, el objetivo del presente trabajo es analizar, implementar y comparar aquellos cuya salida sean las sucesiones de números aleatorios que satisfagan los estándares definidos por el NIST",0.4926391243934631,
sentence-transformers 1,,1,objetivos,"Analizar e implementar mecanismos que permitan la generación de bits pseudoaleatorios para aplicaciones criptográficas, que satisfagan los requerimientos especificados por los estándares, mediante la combinación de algoritmos de software y hardware. Objetivos específicos Analizar los algoritmos generadores de aleatoriedad en hardware que satisfacen las pruebas de aleatoriedad establecidas por el NIST. Analizar los algoritmos generadores de aleatoriedad en software que satisfacen las pruebas de aleatoriedad establecidas por el NIST. Implementar algoritmos generadores de aleatoriedad para software y hardware. Verificar la eficiencia de los generadores de aleatoriedad de software y hardware tanto en tiempo como en calidad de los valores obtenidos. Comparar los resultados obtenidos en cuanto a calidad de los números aleatorios de salida, así como de la eficiencia de cada uno de los generadores.",0.5240670442581177,
sentence-transformers 1,,1,claves,"Criptografía, pseudoaleatoriedad, entropía, hardware reconfigurable.",0.305696964263916,
sentence-transformers 1,,1,TOTAL,,1.7870408296585083,
sentence-transformers 1,,2,Titulo,Prototipo de Sistema Analizador de Variables Climáticas Mediante el Uso de Series de Tiempo,0.4743558168411255,
